name,url,country,article_title,revision_id,quality_score
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,Majah_Ha_Adrif,1233202991,Start
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,Haroon_al-Afghani,1230459615,Start
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,Tayyab_Agha,1225661708,B
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,Khadija_Zahra_Ahmadi,1234741562,Start
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,Aziza_Ahmadyar,1195651393,Stub
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,Muqadasa_Ahmadzai,1235521766,Start
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,Mohammad_Sarwar_Ahmedzai,1176429234,Start
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,Amir_Muhammad_Akhundzada,1247931713,Start
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,Nasrullah_Baryalai_Arsalai,1225385278,Stub
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,Abdul_Rahim_Ayoubi,1226326055,Start
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,Ismael_Balkhi,1244521219,Start
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,Abdul_Baqi_Turkistani,1231655023,Start
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,Mohammad_Ghous_Bashiri,1237694188,Stub
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,Jan_Baz,1227635806,Stub
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,Bashir_Ahmad_Bezan,1248505877,Start
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,Rafiullah_Bidar,1197443408,Start
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,Mohammad_Siddiq_Chakari,1134129082,Start
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,Cheragh_Ali_Cheragh,1193992206,Stub
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,Nasir_Ahmad_Durrani,988838315,Stub
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,Muhammad_Hashim_Esmatullahi,949986748,Stub
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,Ezatullah_(Nangarhar),1158302291,Stub
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,Aimal_Faizi,1185105938,Stub
Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,Afghanistan,Gajinder_Singh_Safri,1212323536,Stub
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,Sharif_Ghalib,1245967190,Start
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,Hashmat_Ghani_Ahmadzai,1207743719,Stub
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,Abdul_Ghani_Ghani,1227026187,C
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,Ghulam_Ghaus,1158659195,Stub
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,Ghulam_Muhammad_Ghobar,1240993642,Stub
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,Mohammad_Gul_(Helmand_Council),1136611354,Stub
Sayed Yousuf Halim,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,Afghanistan,Sayed_Yousuf_Halim,1234514565,Stub
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,Rangina_Hamidi,1234743111,Start
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,Sayed_Zafar_Hashemi,1179137138,Stub
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,Qutbuddin_Hilal,1246566795,Start
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,Mahboba_Hoqomal,1243745950,Start
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,Musa_Hotak,1246566804,C
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,Mirza_Muhammad_Ismail,1235165845,Start
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,Sayed_Jalal,1137130537,C
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,Said_Tayeb_Jawad,1248976824,C
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,Sayed_Jalal_Karim,1136614743,Start
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,Hafizullah_Shabaz_Khail,1238402857,Start
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,Masoud_Khalili,1246566971,Start
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,Mohammad_Khan_(athlete),1247727443,Start
